timestamp,section_id,section_length_km,signal_state,train_id,train_type,priority,position_km,speed_kmph,status,delay_min,disruption,next_station,next_station_arrival
2025-09-01 08:45:00,SEC_02,23,GREEN,T10086,Freight,Low,21.093,39.12,Running,0,None,Section_2_ST4,2025-09-01 09:07:00
2025-09-01 17:33:00,SEC_05,114,YELLOW,T10250,Express,High,77.306,59.51,Weather Slowdown,3,Weather Slowdown,Section_5_ST2,2025-09-01 17:51:00
2025-09-01 16:35:00,SEC_06,106,GREEN,T10308,Passenger,Medium,49.239,63.39,Running,0,None,Section_6_ST1,2025-09-01 16:48:00
2025-09-01 05:04:00,SEC_04,48,GREEN,T10182,Passenger,Medium,34.894,62.28,Running,0,None,Section_4_ST3,2025-09-01 05:38:00
2025-09-01 06:01:00,SEC_01,101,GREEN,T10025,Superfast,Very High,51.701,101.46,Running,0,None,Section_1_ST2,2025-09-01 06:10:00
2025-09-01 06:58:00,SEC_07,89,GREEN,T10393,Freight,Low,50.739,45.28,Running,0,None,Section_7_ST2,2025-09-01 07:41:00
2025-09-01 17:38:00,SEC_01,101,GREEN,T10029,Freight,Low,47.479,54.23,Running,0,None,Section_1_ST2,2025-09-01 18:16:00
2025-09-01 15:42:00,SEC_05,114,RED,T10243,Passenger,Medium,30.744,0.0,Waiting for Signal,16,None,Section_5_ST2,2025-09-01 16:26:00
2025-09-01 11:21:00,SEC_07,89,RED,T10384,Express,High,45.554,0.0,Waiting for Signal,8,None,Section_7_ST2,2025-09-01 12:01:00
2025-09-01 03:37:00,SEC_07,89,GREEN,T10387,Freight,Low,42.267,42.97,Running,0,None,Section_7_ST2,2025-09-01 03:54:00
2025-09-01 20:56:00,SEC_10,31,GREEN,T10572,Passenger,Medium,8.175,66.2,Running,0,None,Section_10_ST3,2025-09-01 21:28:00
2025-09-01 08:11:00,SEC_09,24,GREEN,T10514,Superfast,Very High,13.082,96.36,Running,0,None,Section_9_ST4,2025-09-01 08:44:00
2025-09-01 04:52:00,SEC_07,89,GREEN,T10389,Passenger,Medium,35.262,15.55,Fault - Slow/Stopped,58,Rolling Stock Fault,Section_7_ST2,2025-09-01 05:25:00
2025-09-01 09:20:00,SEC_05,114,GREEN,T10252,Freight,Low,7.959,41.03,Running,0,None,Section_5_ST2,2025-09-01 10:17:00
2025-09-01 16:12:00,SEC_02,23,GREEN,T10088,Passenger,Medium,21.508,0.0,Halted - ACP,17,ACP,Section_2_ST5,2025-09-01 16:38:00
2025-09-01 14:00:00,SEC_06,106,GREEN,T10348,Superfast,Very High,32.164,118.68,Running,0,None,Section_6_ST2,2025-09-01 14:40:00
2025-09-01 14:59:00,SEC_04,48,GREEN,T10213,Express,High,35.593,79.96,Running,0,None,Section_4_ST4,2025-09-01 15:36:00
2025-09-01 21:11:00,SEC_04,48,RED,T10197,Express,High,21.434,0.0,Waiting for Signal,9,None,Section_4_ST3,2025-09-01 21:54:00
2025-09-01 03:25:00,SEC_03,55,GREEN,T10166,Passenger,Medium,26.618,59.73,Running,0,None,Section_3_ST3,2025-09-01 03:54:00
2025-09-01 10:46:00,SEC_06,106,GREEN,T10344,Freight,Low,50.009,52.17,Running,0,None,Section_6_ST2,2025-09-01 11:20:00
2025-09-01 11:53:00,SEC_08,95,GREEN,T10452,Express,High,55.294,93.09,Running,0,None,Section_8_ST5,2025-09-01 12:41:00
2025-09-01 13:22:00,SEC_01,101,GREEN,T10016,Freight,Low,13.374,48.07,Running,0,None,Section_1_ST1,2025-09-01 13:37:00
2025-09-01 21:06:00,SEC_05,114,YELLOW,T10283,Express,High,67.94,40.62,Proceed with Caution,7,Caution Order,Section_5_ST3,2025-09-01 21:33:00
2025-09-01 15:28:00,SEC_03,55,RED,T10144,Passenger,Medium,38.09,0.0,Waiting for Signal,8,None,Section_3_ST3,2025-09-01 16:01:00
2025-09-01 08:18:00,SEC_02,23,GREEN,T10076,Freight,Low,23.0,47.46,Running,0,None,Section_2_ST4,2025-09-01 08:45:00
2025-09-01 21:51:00,SEC_06,106,GREEN,T10345,Express,High,96.343,83.2,Running,0,None,Section_6_ST3,2025-09-01 22:17:00
2025-09-01 13:23:00,SEC_09,24,YELLOW,T10483,Freight,Low,10.515,8.96,Fault - Slow/Stopped,10,Rolling Stock Fault,Section_9_ST1,2025-09-01 13:43:00
2025-09-01 04:30:00,SEC_10,31,RED,T10598,Freight,Low,14.768,0.0,Waiting for Signal,11,None,Section_10_ST3,2025-09-01 05:07:00
2025-09-01 11:39:00,SEC_07,89,RED,T10406,Freight,Low,23.514,0.0,Halted - ACP,27,ACP,Section_7_ST3,2025-09-01 12:12:00
2025-09-01 04:57:00,SEC_09,24,RED,T10496,Express,High,14.74,0.0,Halted - ACP,6,ACP,Section_9_ST4,2025-09-01 05:27:00
2025-09-01 05:32:00,SEC_04,48,GREEN,T10226,Freight,Low,28.187,48.54,Running,0,None,Section_4_ST5,2025-09-01 06:13:00
